t,q1,q2,q3,q4,q5,q6
1.09,-0.622597379141224,-1.38685381873368,2.6291157985534,-2.81305830400662,-1.57079633640028,0.948198948169936
1.1,-0.622597379211199,-1.39470277604022,2.6268820268362,-2.8029755745789,-1.57079633646519,0.948198947814059
1.11,-0.622597379231546,-1.40375568111508,2.62433004166571,-2.79137068394763,-1.57079633641181,0.948198947506029
1.12,-0.622597379198532,-1.41408477406344,2.62144105587542,-2.77815260484323,-1.57079633623144,0.948198947250004
1.13,-0.622597379110156,-1.42571548166468,2.61820873357898,-2.76328957460161,-1.57079633591956,0.948198947048607
1.14,-0.622597378966012,-1.43863060428453,2.61463807289415,-2.746803790976,-1.57079633547548,0.94819894690305
1.15,-0.622597378767133,-1.45277450278713,2.61074428866667,-2.72876610794885,-1.57079633490199,0.948198946813257
1.16,-0.622597378515855,-1.46805728544708,2.60655169519419,-2.70929073154368,-1.57079633420502,0.948198946777984
1.17,-0.62259737821566,-1.48435899486156,2.60209258895021,-2.68852991563694,-1.57079633339325,0.948198946794941
1.18,-0.62259737787104,-1.50153379486238,2.59740613130796,-2.66666865776988,-1.57079633247777,0.948198946860914
1.19,-0.622597377487343,-1.51941415742808,2.59253723126436,-2.64391939496042,-1.57079633147174,0.948198946971888
1.2,-0.622597377070631,-1.53781504959599,2.58753542816387,-2.62051669951501,-1.57079633039,0.948198947123165
1.21,-0.62259737662753,-1.55653812037432,2.58245377442247,-2.59671197484049,-1.57079632924877,0.948198947309492
1.22,-0.622597376165088,-1.57537588765424,2.57734771825155,-2.57276815125597,-1.57079632806521,0.948198947525175
1.23,-0.622597375690628,-1.59411592512194,2.57227398638182,-2.54895438180466,-1.57079632685716,0.948198947764209
1.24,-0.622597375211596,-1.61254504917073,2.56728946678723,-2.52554073806578,-1.57079632564272,0.948198948020394
1.25,-0.622597374735422,-1.63045350581314,2.5624500914089,-2.50279290596641,-1.57079632443991,0.948198948287456
1.26,-0.622597374269373,-1.64763915759293,2.55780971887901,-2.48096688159332,-1.57079632326632,0.948198948559176
1.27,-0.622597373820399,-1.66391167049724,2.55341901724474,-2.46030366700489,-1.57079632213876,0.948198948829503
1.28,-0.622597373394997,-1.67909670086863,2.54932434669216,-2.44102396604295,-1.57079632107288,0.948198949092682
1.29,-0.622597372999057,-1.69304008231716,2.54556664227019,-2.42332288014461,-1.57079632008285,0.948198949343372
1.3,-0.622597372637721,-1.7056120126325,2.54218029661444,-2.40736460415421,-1.57079631918097,0.948198949576771
1.31,-0.622597372315233,-1.71671124069596,2.53919204267123,-2.39327712213508,-1.57079631837735,0.948198949788735
1.32,-0.622597372034794,-1.72626925339262,2.5366198364214,-2.38114690318149,-1.57079631767952,0.9481989499759
1.33,-0.622597371798416,-1.73425446252336,2.5344717396043,-2.37101359723049,-1.57079631709208,0.948198950135807
1.34,-0.622597371606775,-1.74067639171699,2.53274480244168,-2.36286473087373,-1.57079631661638,0.94819895026702
1.35,-0.622597371459067,-1.74558986334228,2.53142394636159,-2.3566304031694,-1.57079631625012,0.948198950369249
1.36,-0.622597371352858,-1.74909918542007,2.53048084672233,-2.35217798145404,-1.57079631598701,0.948198950443472
1.37,-0.62259737128394,-1.75136233853534,2.52987281553633,-2.34930679715442,-1.57079631581644,0.948198950492058
1.38,-0.622597371246186,-1.75259516274929,2.5295416841941,-2.34774284159942,-1.57079631572306,0.948198950518885
1.39,-0.622597371231399,-1.75307554451142,2.52941268618811,-2.34713346183187,-1.57079631568652,0.948198950529466
1.4,-0.622597371229171,-1.75314760357159,2.52939333983675,-2.34704205642044,-1.57079631568102,0.948198950531069
