t_s,force_normal_N,force_filtered_N,force_measured_N,force_desired_N,penetration_mm,ee_z_m,cmd_z_m,ee_z_velocity_mps,closing_velocity_mps,phase
0.137,0,0.0170914509835955,0.049044526950679,14.5,0,0.130366477785234,0.112578336776859,-0.314740264785515,0.314740264785515,approach
0.138,0,0.0146498151287961,0,14.5,0,0.130050161350067,0.112226776859504,-0.316245274340705,0.316245274340705,approach
0.139,0,0.012556984396111,0,14.5,0,0.129732384623654,0.111876952479339,-0.317705317851415,0.317705317851415,approach
0.14,0,0.0107631294823808,0,14.5,0,0.129413192965003,0.111528925619835,-0.319120033288515,0.319120033288515,approach
0.141,0,0.00922553955632642,0,14.5,0,0.129092632086071,0.111182758264463,-0.320489068128292,0.320489068128292,approach
0.142,0,0.00790760533399408,0,14.5,0,0.128770748042361,0.110838512396694,-0.321812079216132,0.321812079216132,approach
0.143,0,0.00683534050168109,0.000401751507803193,14.5,0,0.128447587223681,0.11049625,-0.323088732626951,0.323088732626951,approach
0.144,0,0.00948784486145441,0.0254028710200943,14.5,0,0.128123196345028,0.110156033057851,-0.324318703522498,0.324318703522498,approach
0.145,0,0.00813243845267521,0,14.5,0,0.127797622437624,0.109817923553719,-0.325501676005614,0.325501676005614,approach
0.146,0,0.00916145613244066,0.0153355622110334,14.5,0,0.127470912840103,0.109481983471074,-0.326637342971535,0.326637342971535,approach
0.147,0,0.0136252356159852,0.0404079125172525,14.5,0,0.127143115189841,0.109148274793388,-0.327725405956357,0.327725405956357,approach
0.148,0,0.0116787733851302,0,14.5,0,0.126814277414448,0.108816859504132,-0.328765574982742,0.328765574982742,approach
0.149,0,0.0137915543805369,0.0264682403529771,14.5,0,0.126484447723415,0.108487799586777,-0.329757568402979,0.329757568402979,approach
0.15,0,0.0118213323261745,0,14.5,0,0.126153674599914,0.108161157024793,-0.330701112739493,0.330701112739493,approach
0.151,0,0.0160318900238573,0.0412952362099544,14.5,0,0.125822006792769,0.107836993801653,-0.331595942522895,0.331595942522895,approach
0.152,0,0.0178236678836658,0.0285743350425167,14.5,0,0.12548949330858,0.107515371900826,-0.332441800127696,0.332441800127696,approach
0.153,0,0.0159170310218684,0.00447720985108404,14.5,0,0.125156183404029,0.107196353305785,-0.333238435605758,0.333238435605758,approach
0.154,0,0.0136431694473158,0,14.5,0,0.124822126578335,0.10688,-0.333985606517603,0.333985606517603,approach
0.155,0,0.0152784210597872,0.025089930734616,14.5,0,0.124487372565896,0.106566373966942,-0.334683077761676,0.334683077761676,approach
0.156,0,0.0205131066456687,0.0519212201609575,14.5,0,0.124151971329094,0.106255537190083,-0.335330621401662,0.335330621401662,approach
