t,force,peak_force,contact_count,success,hammer_x,hammer_y,hammer_z
0.92,0,270.3880163866041,0,1.0,0.3024489402770935,-0.08275214442241333,0.056689335525282665
0.925,0,270.3880163866041,0,1.0,0.3025026685516808,-0.08278543509631126,0.05667601281549642
0.93,0,270.3880163866041,0,1.0,0.3025510061348232,-0.0828205696812722,0.056680259899889694
0.935,0,270.3880163866041,0,1.0,0.302616530325537,-0.08286441337220364,0.05672708447931064
0.9400000000000001,0,270.3880163866041,0,1.0,0.3026765185763859,-0.08290910857837926,0.05679170820047777
0.9450000000000001,0,270.3880163866041,0,1.0,0.3027534188177791,-0.08296234315056415,0.05689905682855106
0.9500000000000001,0,270.3880163866041,0,1.0,0.30283360674281457,-0.0830183283714282,0.05702428638411668
0.9550000000000001,0,270.3880163866041,0,1.0,0.30291414836028646,-0.08307841594294667,0.05719188198596876
0.96,0,270.3880163866041,0,1.0,0.3030091824976435,-0.08314384403929435,0.057377304621582095
0.965,0,270.3880163866041,0,1.0,0.30310738165034234,-0.0832137901887851,0.05760424978004903
0.97,0,270.3880163866041,0,1.0,0.3032079950039725,-0.08328578608688723,0.057848724277038306
0.975,0,270.3880163866041,0,1.0,0.303314689650113,-0.08336267569097648,0.058133294826956755
0.98,0,270.3880163866041,0,1.0,0.3034244343063446,-0.08344162255807297,0.058434858821855125
0.985,0,270.3880163866041,0,1.0,0.30354538830036376,-0.08352649217840284,0.0587745030937668
0.99,0,270.3880163866041,0,1.0,0.30366141356683785,-0.08361100005943377,0.05913037942828384
0.995,0,270.3880163866041,0,1.0,0.3037888857785255,-0.08370114794146556,0.05952160965442655
1.0,0,270.3880163866041,0,1.0,0.3039118072299367,-0.0837907279120379,0.05992783170429892
1.0050000000000001,0,270.3880163866041,0,1.0,0.3040441257305466,-0.08388493806119443,0.06036605372531098
1.01,0,270.3880163866041,0,1.0,0.30417710720214985,-0.08397985318476377,0.06081818141988479
1.0150000000000001,0,270.3880163866041,0,1.0,0.30431307789658796,-0.08407688433409807,0.061297943431063914
1.02,0,270.3880163866041,0,1.0,0.3044442555263132,-0.08417285119968598,0.061789864261693125
1.025,0,270.3880163866041,0,1.0,0.3045837446206753,-0.08427211481842813,0.0623042723549012
1.03,0,270.3880163866041,0,1.0,0.3047221516500332,-0.08437109321252735,0.06282877281133134
1.035,0,270.3880163866041,0,1.0,0.3048574544418459,-0.08446964126559453,0.06336977723002205
1.04,0,270.3880163866041,0,1.0,0.3049970956345481,-0.08456924661475344,0.06391833782005389
1.045,0,270.3880163866041,0,1.0,0.30513678368499364,-0.084668839587556,0.06447632515330852
1.05,0,270.3880163866041,0,1.0,0.3052754899170365,-0.08476775510226031,0.0650389602715508
1.055,0,270.3880163866041,0,1.0,0.30540856743004846,-0.0848650602870973,0.06560970749146504
1.06,0,270.3880163866041,0,1.0,0.30554723653318683,-0.0849636351298972,0.06618443192535868
1.065,0,270.3880163866041,0,1.0,0.3056856166830267,-0.08506392048519934,0.06678942664612787
